codigo_puesto_unico,zona_codigo,puesto_codigo,nombre_puesto_dashboard,nombre_puesto_base,nombres_puesto_base_variantes,nombre_puesto_ideca,nombre_sitio,localidad_codigo,localidad,direccion,latitud,longitud,estado_geocodificacion,fuente_geografica,templo_principal,total_testigos,lideres_activos,beneficiarios_mesas_trabajo,referidos_activos_lideres,lideres_ref_0,lideres_ref_1_5,lideres_ref_6_9,lideres_ref_10_mas,pct_lideres_activos,pct_beneficiarios_mesas_trabajo,numero_puesto_ideca
160010110,01,10,Colegio Santo Tomás de Aquino,SANTO TOMAS DE AQUINO,SANTO TOMAS DE AQUINO,Colegio Santo Tomás de Aquino,Santo Tomás de Aquino,01,Usaquén,CRA 21 # 132 – 46,4.717314543999976,-74.04961494000003,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,ORQUÍDEAS,7,7,0,63,1,2,2,2,100.0,0.0,10
160010111,01,11,Instituto Pedagógico Nacional,INSTITUTO PEDAGOGICO NACIONAL,COLEGIO MILITAR LICEO SOCIAL COMPARTIR | INSTITUTO PEDAGOGICO NACIONAL,Instituto Pedagógico Nacional,Instituto Pedagógico Nacional,01,Usaquén,AV CLL 127 # 11 - 20,4.704392982000002,-74.03444790100002,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,CEDRITOS,7,6,1,22,2,2,1,1,85.7,14.3,11
160010112,01,12,Parqueadero Unicentro,CENTRO COMERCIAL UNICENTRO,CENTRO COMERCIAL UNICENTRO,Parqueadero Unicentro,Centro Comercial Unicentro,01,Usaquén,AV CRA 15 # 124 - 30,4.702378771999975,-74.042624999,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,SUBA - PRADO,5,4,0,37,1,0,1,2,80.0,0.0,12
160010114,01,14,Parqueadero,SANTA PAULA,SANTA PAULA,Parqueadero,Santa Paula,01,Usaquén,CRA 13 A # 107 A - 10,4.6904828799999905,-74.04258362000002,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,ORQUÍDEAS,3,2,1,14,0,1,0,1,66.7,33.3,14
160010115,01,15,Centro Comercial Hacienda Santa Bárbara,CENTRO COMERCIAL HACIENDA SANTA BARBARA,CENTRO COMERCIAL HACIENDA SANTA BARBARA,Centro Comercial Hacienda Santa Bárbara,Centro Comercial Hacienda Santa Barbara,01,Usaquén,"CLL 114 CRA 6 Entrada Zona C /
CRA 6 # 115 - 65 Entrada F",4.692593025999997,-74.03165673299998,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,ORQUÍDEAS,1,1,0,10,0,0,0,1,100.0,0.0,15
160010117,01,17,Colegio Distrital Toberín - Sede A,COLEGIO DISTRITAL TOBERIN SEDE A,COLEGIO DISTRITAL TOBERIN SEDE A,Colegio Distrital Toberín - Sede A,Colegio Distrital Toberín - Sede A,01,Usaquén,CLL 166 # 16 C - 15,4.745398948000002,-74.039383897,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,ORQUÍDEAS,54,47,1,467,4,10,8,25,87.0,1.9,17
160010118,01,18,Parque Cedritos,PARQUE CEDRITOS,PARQUE CEDRITOS,Parque Cedritos,Parque Cedritos,01,Usaquén,"CRA 9 Entre CLL 145 y 146 / 
CRA 11 # 145 - 60",4.723401707999983,-74.032523959,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,CEDRITOS,7,5,1,31,0,3,1,1,71.4,14.3,18
160010119,01,19,Parque Cedro Golf,CEDRO GOLF,CEDRO GOLF,Parque Cedro Golf,Cedro Golf,01,Usaquén,CRA 7 A # 150 - 85,4.7254943930000195,-74.02642592299998,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,ORQUÍDEAS,5,5,2,70,0,0,1,4,100.0,40.0,19
160010120,01,20,Colegio Distrital Nuevo Horizonte Sede A,BUENAVISTA,BUENAVISTA,Colegio Distrital Nuevo Horizonte Sede A,Buenavista,01,Usaquén,CRA 5 B # 189 B - 30,4.766856689000008,-74.02579167099998,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,LIJACÁ,14,13,6,661,1,3,2,7,92.9,42.9,20
160010121,01,21,Vía pública,CANAIMA,CANAIMA,Vía pública,Canaima,01,Usaquén,"CLL 195 # 19 - 50 Vía Pública / 
CLL 195 # 20 - 91 Vía Pública",4.772747019000008,-74.04098848000001,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,LIJACÁ,3,2,1,24,0,0,1,1,66.7,33.3,21
160010122,01,22,Colegio Alessandro Volta,ALESSANDRO VOLTA,ALESSANDRO VOLTA,Colegio Alessandro Volta,Alessandro Volta,01,Usaquén,CLL 119 # 4 - 79,4.694216800999982,-74.027907116,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,LA COLINA,8,6,1,36,3,2,0,1,75.0,12.5,22
160010123,01,23,Colegio Distrital Usaquén - Sede A,COLEGIO DISTRITAL USAQUEN SEDE A,COLEGIO DISTRITAL USAQUEN SEDE A,Colegio Distrital Usaquén - Sede A,Colegio Distrital Usaquén Sede A,01,Usaquén,CLL 127 C # 9 A - 03,4.707009077999999,-74.03447423900002,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,CEDRITOS,6,5,0,24,0,3,2,0,83.3,0.0,23
160010124,01,24,Colegio Distrital Cristóbal Colón,COLEGIO DISTRITAL CRISTOBAL COLON,COLEGIO DISTRITAL CRISTOBAL COLON,Colegio Distrital Cristóbal Colón,Colegio Distrital Cristóbal Colón,01,Usaquén,CLL 165 # 8 A - 03,4.741342999999972,-74.02593300000001,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,ORQUÍDEAS,6,4,2,33,1,1,0,2,66.7,33.3,24
160010125,01,25,Colegio Distrital Divino Maestro - Sede A,COLEGIO DISTRITAL DIVINO MAESTRO SEDE A,COLEGIO DISTRITAL DIVINO MAESTRO SEDE A,Colegio Distrital Divino Maestro - Sede A,Colegio Distrital Divino Maestro Sede A,01,Usaquén,CRA 8 C # 163 B - 20,4.739852817999974,-74.02774595599999,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,ORQUÍDEAS,13,12,3,186,2,4,0,6,92.3,23.1,25
160010126,01,26,Colegio Distrital Divino Maestro - Sede B,COLEGIO DISTRITAL DIVINO MAESTRO SEDE B,COLEGIO DISTRITAL DIVINO MAESTRO SEDE B,Colegio Distrital Divino Maestro - Sede B,Colegio Distrital Divino Maestro Sede B,01,Usaquén,"CLL 164 # 7 F - 08 / 
CRA 7 F # 164 - 51",4.740253212000027,-74.02522373199997,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,ORQUÍDEAS,8,7,1,82,1,2,0,4,87.5,12.5,26
