codigo_puesto_unico,zona_codigo,puesto_codigo,zona_operativa,templo_sector,nombre_puesto_dashboard,nombre_puesto_base,nombres_puesto_base_variantes,nombre_puesto_ideca,nombre_sitio,localidad_codigo,localidad,direccion,latitud,longitud,estado_geocodificacion,fuente_geografica,total_testigos,lideres_activos,beneficiarios_mesas_trabajo,referidos_activos_lideres,lideres_ref_0,lideres_ref_1_5,lideres_ref_6_9,lideres_ref_10_mas,pct_lideres_activos,pct_beneficiarios_mesas_trabajo,numero_puesto_ideca
160011948,19,48,SUR,CANDELARIA LA NUEVA,Colegio Distrital Paraíso Mirador,EL MIRADOR CIUDAD BOLIVAR,EL MIRADOR CIUDAD BOLIVAR,Colegio Distrital Paraíso Mirador,El Mirador,19,Ciudad Bolívar,CRA 27 L # 71 H - 46 Sur,4.551558049999983,-74.16189115399999,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,2,2,0,8,0,2,0,0,100.0,0.0,48
160011948,19,48,SUR,LUCERO BAJO,Colegio Distrital Paraíso Mirador,EL MIRADOR CIUDAD BOLIVAR,EL MIRADOR CIUDAD BOLIVAR,Colegio Distrital Paraíso Mirador,El Mirador,19,Ciudad Bolívar,CRA 27 L # 71 H - 46 Sur,4.551558049999983,-74.16189115399999,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,5,4,1,35,2,1,0,1,80.0,20.0,48
160011948,19,48,SUR,SANTA LUCÍA (BTA),Colegio Distrital Paraíso Mirador,EL MIRADOR CIUDAD BOLIVAR,EL MIRADOR CIUDAD BOLIVAR,Colegio Distrital Paraíso Mirador,El Mirador,19,Ciudad Bolívar,CRA 27 L # 71 H - 46 Sur,4.551558049999983,-74.16189115399999,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,1,1,0,7,0,0,1,0,100.0,0.0,48
160011949,19,49,SUR,CANDELARIA LA NUEVA,Colegio Distrital Estrella del Sur Sede B,LAS QUINTAS,LAS QUINTAS,Colegio Distrital Estrella del Sur Sede B,Las Quintas,19,Ciudad Bolívar,CLL 75 Sur # 18 B - 45,4.542262439000012,-74.14440778300002,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,1,1,0,0,1,0,0,0,100.0,0.0,49
160011949,19,49,SUR,LUCERO BAJO,Colegio Distrital Estrella del Sur Sede B,LAS QUINTAS,LAS QUINTAS,Colegio Distrital Estrella del Sur Sede B,Las Quintas,19,Ciudad Bolívar,CLL 75 Sur # 18 B - 45,4.542262439000012,-74.14440778300002,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,6,4,0,9,3,0,1,0,66.7,0.0,49
160011950,19,50,SUR,CANDELARIA LA NUEVA,Colegio Distrital Fanny Mikey,COLEGIO FANNY MIKEY,COLEGIO FANNY MIKEY,Colegio Distrital Fanny Mikey,Colegio Fanny Mikey,19,Ciudad Bolívar,"CRA 18 # 70 A - 05 Sur / 
CRA 18N # 70 A - 51 Sur",4.549826462999988,-74.15253320900001,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,1,1,0,10,0,0,0,1,100.0,0.0,50
160011951,19,51,SUR,CANDELARIA LA NUEVA,Colegio Distrital Santa Barbara Sur,MARANDU,MARANDU,Colegio Distrital Santa Barbara Sur,Marandú,19,Ciudad Bolívar,CRA 18 U # 65 - 01 SUR,4.557569220000005,-74.14606568099998,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,2,2,0,24,1,0,0,1,100.0,0.0,51
160011952,19,52,SUR,CANDELARIA LA NUEVA,Col Dist Arborizadora Alta Sede A,COL DIST ARBORIZADORA ALTA SEDE A,COL DIST ARBORIZADORA ALTA SEDE A,Col Dist Arborizadora Alta Sede A,Col Dist Arborizadora Alta Sede A,19,Ciudad Bolívar,"CRA 43 # 70A - 50 Sur / 
CRA 42 # 70A - 70 Sur",4.5684596070000225,-74.16021963999998,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,6,6,0,19,2,3,1,0,100.0,0.0,52
160011953,19,53,NORTE,SUBA – EL PINAR,Centro de Desarrollo Educativo IDIPRON,BALMORAL,BALMORAL,Centro de Desarrollo Educativo IDIPRON,Balmoral,19,Ciudad Bolívar,"CRA 70C # 60 B - 05 Sur / 
AV CRA 70C # 60 B - 05 Sur",4.591654939000023,-74.16167387500002,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,1,1,0,0,1,0,0,0,100.0,0.0,53
160011953,19,53,SUR,BOSA LA ESTACION,Centro de Desarrollo Educativo IDIPRON,BALMORAL,BALMORAL,Centro de Desarrollo Educativo IDIPRON,Balmoral,19,Ciudad Bolívar,"CRA 70C # 60 B - 05 Sur / 
AV CRA 70C # 60 B - 05 Sur",4.591654939000023,-74.16167387500002,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,1,1,1,4,0,1,0,0,100.0,100.0,53
160011953,19,53,SUR,CANDELARIA LA NUEVA,Centro de Desarrollo Educativo IDIPRON,BALMORAL,BALMORAL,Centro de Desarrollo Educativo IDIPRON,Balmoral,19,Ciudad Bolívar,"CRA 70C # 60 B - 05 Sur / 
AV CRA 70C # 60 B - 05 Sur",4.591654939000023,-74.16167387500002,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,2,2,1,22,0,0,1,1,100.0,50.0,53
160011954,19,54,SUR,CANDELARIA LA NUEVA,Liceo Contadora,LA CORUÑA - LICEO CONTADORA,LA CORUÑA - LICEO CONTADORA,Liceo Contadora,La Coruña - Liceo Contadora,19,Ciudad Bolívar,"CLL 59 Sur # 45 D - 15 / 
CLL 59 C Sur # 45 D - 15",4.575745021999978,-74.15352522799998,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,6,6,0,21,2,1,3,0,100.0,0.0,54
160011954,19,54,SUR,LUCERO BAJO,Liceo Contadora,LA CORUÑA - LICEO CONTADORA,LA CORUÑA - LICEO CONTADORA,Liceo Contadora,La Coruña - Liceo Contadora,19,Ciudad Bolívar,"CLL 59 Sur # 45 D - 15 / 
CLL 59 C Sur # 45 D - 15",4.575745021999978,-74.15352522799998,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,1,1,0,2,0,1,0,0,100.0,0.0,54
160011954,19,54,SUR,SAN VICENTE FERRER,Liceo Contadora,LA CORUÑA - LICEO CONTADORA,LA CORUÑA - LICEO CONTADORA,Liceo Contadora,La Coruña - Liceo Contadora,19,Ciudad Bolívar,"CLL 59 Sur # 45 D - 15 / 
CLL 59 C Sur # 45 D - 15",4.575745021999978,-74.15352522799998,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,1,1,0,0,1,0,0,0,100.0,0.0,54
160011955,19,55,SUR,BOSA LA ESTACION,Colegio Distrital Sierra Morena Sede A,TANQUE-SIERRA MORENA,TANQUE-SIERRA MORENA,Colegio Distrital Sierra Morena Sede A,Tanque - Sierra Morena,19,Ciudad Bolívar,"CLL 77 Sur # 65 - 01 / 
CLL 75 C Sur # 71 - 03",4.574785834000011,-74.169576845,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,1,1,0,11,0,0,0,1,100.0,0.0,55
